Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4fpxnJGDWFxjGvLJOqPPt8,"True Faith","Substance","New Order",1987-08-17,355066,68,false,gimmli67,2026-06-26T06:08:50Z,"","Rhino",0.589,0.784,0,-13.037,1,0.0312,0.175,0.0767,0.132,0.941,116.981,4
spotify:track:3AIEEEIDJFnqv8rozNVCRZ,"Don't You Want Me","Don't You Want Me","The Human League",2009-01-01,238000,73,false,gimmli67,2026-06-26T06:08:50Z,"synthpop,new wave","Virgin Records",0.734,0.736,9,-8.107,0,0.0394,0.17,0,0.186,0.961,117.634,4
spotify:track:5fy4vfEtv6lzqLx2Mt7stF,"It's a Sin - 2018 Remaster","Actually: Further Listening 1987 - 1988 (2018 Remaster)","Pet Shop Boys",1987-09-07,299253,74,false,gimmli67,2026-06-26T06:08:50Z,"","Rhino",0.544,0.86,0,-6.151,0,0.0489,0.206,0.00108,0.213,0.284,127.129,4
spotify:track:3yobQNuKVJ62WDU7h725Fu,"Fade To Grey","Visage","Visage",1980-01-01,239360,67,false,gimmli67,2026-06-26T06:08:50Z,"","Polydor",0.604,0.416,2,-17.154,0,0.0372,0.000315,0.0165,0.0897,0.512,112.338,4
spotify:track:4yDCTzaFfr7YOuYKpwgidL,"Sounds Like a Melody - 2019 Remaster","Forever Young (Super Deluxe Edition; 2019 Remaster)","Alphaville",1984,286170,67,false,gimmli67,2026-06-26T06:08:50Z,"new wave,synthpop,darkwave","WM Germany",0.7,0.802,11,-6.966,0,0.037,0.0422,0.17,0.239,0.445,97.189,4
spotify:track:7ioy6ppmN9Rn8Pm5axNzUP,"Vienna - 2008 Remaster","Vienna (Remastered Definitive Edition)","Ultravox",1980-10-15,296160,61,false,gimmli67,2026-06-26T06:08:50Z,"synthpop,new wave","Chrysalis Records",0.598,0.583,5,-10.242,1,0.0551,0.214,0.188,0.116,0.333,80.343,4
spotify:track:7iN2AiwBr3FKuloMzDjIQO,"Tainted Love - Remastered 2023","Non-Stop Erotic Cabaret","Soft Cell",1981-11-27,154733,71,false,gimmli67,2026-06-26T06:08:50Z,"new wave,ebm,darkwave,synthpop,cold wave","UMC (Universal Music Catalogue)",0.489,0.63,0,-3.701,0,0.0366,0.35,0,0.148,0.61,144.402,4
spotify:track:4d6eqRtpDX7tydHJGDZUBQ,"She Drives Me Crazy","The Raw & The Cooked","Fine Young Cannibals",1988-01-01,215773,80,false,gimmli67,2026-06-26T06:08:50Z,"synthpop","London Records (Because Ltd)",0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,4
spotify:track:3tt7RFFroussjjtoksGJpE,"Hit That Perfect Beat","Truthdare Doubledare","Bronski Beat",1986-01-01,219733,55,false,gimmli67,2026-06-26T06:08:50Z,"synthpop,new wave","London Music Stream",0.695,0.836,0,-12.965,1,0.0395,0.00611,0,0.167,0.629,139.825,4
spotify:track:7o7E1nrHWncYY7PY94gCiX,"Video Killed The Radio Star","The Age Of Plastic","The Buggles",1980-01-10,252773,75,false,gimmli67,2026-06-26T06:08:50Z,"hard rock,glam metal,gothic rock","Universal-Island Records Ltd.",0.682,0.679,1,-11.548,1,0.0755,0.103,0.00831,0.204,0.251,131.157,4
