Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:0OajXvsbkfhx5CTn4gsAdB,The Lure (Main Theme) (with Mike Dean),"spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:5TAipisjquAkq2o7lzMJyc","The Weeknd, MIKE DEAN",spotify:album:6E3IPXh38G7UHLqVdfIY5h,The Idol Episode 1 (Music from the HBO Original Series),"spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:5TAipisjquAkq2o7lzMJyc, spotify:artist:1pBLC0qVRTB5zVMuteQ9jJ","The Weeknd, MIKE DEAN, Lily-Rose Depp",09.06.2023,https://i.scdn.co/image/ab67616d0000b2736d20a763ad0e31c924c5e176,1,1,277856,https://p.scdn.co/mp3-preview/a490660719ddb6c73b4660151049f03e0b9460a8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,48,USUG12303878,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:0Tt2jli0yAD1MKSTb5MvS2,"Oxygene, Pt. 4",spotify:artist:5MhLmv7GgyjbxGqiIGasvT,Jean-Michel Jarre,spotify:album:3e7TxckusgnC1AYnAqbl2z,Oxygène,spotify:artist:5MhLmv7GgyjbxGqiIGasvT,Jean-Michel Jarre,02.12.1976,https://i.scdn.co/image/ab67616d0000b273d51e6d66cda008f80104c821,1,4,246893,https://p.scdn.co/mp3-preview/bc5ae7d35f8e2238a99ca27ff127d25b615f1f48?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,1,FR45F1100080,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:6ADslNvu6eB7VaWB86RO1U,The Originator Theme,spotify:artist:2bZNTmImyBIMOwgn3GZ9Ez,Sebastian Lightfoot,spotify:album:3NhyWZpiFYGRYnkRAekm1S,The Originator Theme,spotify:artist:2bZNTmImyBIMOwgn3GZ9Ez,Sebastian Lightfoot,10.04.2024,https://i.scdn.co/image/ab67616d0000b2730ebf0e12d3233947ee2076ac,1,1,225804,https://p.scdn.co/mp3-preview/fd9485c1615ff57f4cd34d982cdb746469c3b67d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,NLB032400020,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:74BfFG9qR85KXxN49esFVA,Main Titles (You’ve Been Called Back to Top Gun),"spotify:artist:7Cf73Z3RZQTH4V69GSDxnv, spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:0YC192cP3KPCRWx8zr8MfZ, spotify:artist:6dU7gPN2BhEPfO5QHLt7es","Harold Faltermeyer, Lady Gaga, Hans Zimmer, Lorne Balfe",spotify:album:3tjIKRAPBy5Qu4z8F5HmBz,Top Gun: Maverick (Music From The Motion Picture),"spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:5Pwc4xIPtQLFEnJriah9YJ, spotify:artist:0YC192cP3KPCRWx8zr8MfZ","Lady Gaga, OneRepublic, Hans Zimmer",27.05.2022,https://i.scdn.co/image/ab67616d0000b27302701cfe03aca6827b5c5449,1,1,150666,https://p.scdn.co/mp3-preview/48525a87786fdf5fcdf42a571a37dbab0fe79368?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,63,USKLP2200329,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:0qmNUYFbYNTP75lvpTXU4l,Utopia - Remastered,spotify:artist:6jU2Tt13MmXYk0ZBv1KmfO,Giorgio Moroder,spotify:album:4kVLNvbBwQV8uAOZBF3xIQ,Best of Electronic Disco (Deluxe Edition),spotify:artist:6jU2Tt13MmXYk0ZBv1KmfO,Giorgio Moroder,20.05.2013,https://i.scdn.co/image/ab67616d0000b2730c1c82aa0b4d455230929cd5,1,3,204066,https://p.scdn.co/mp3-preview/eccd3721d03704ca4ed479eff4971d6b96ed685a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,17,DED467700062,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:1FL9DHDSED6lxNMDJUJQvB,The Model - 2009 Remaster,spotify:artist:0dmPX6ovclgOy8WWJaFEUU,Kraftwerk,spotify:album:3eyz60xEK5dGEeZF1JJSi9,The Man-Machine (2009 Remaster),spotify:artist:0dmPX6ovclgOy8WWJaFEUU,Kraftwerk,1978,https://i.scdn.co/image/ab67616d0000b273e4c3295cd6464ed5bc0f6c2c,1,4,220533,https://p.scdn.co/mp3-preview/c19fedb41e078b6a689b6f9795589ef5b36d0ed2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,USCA20903078,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:56Pfg3iEFoBwVIR8RymOFp,In the magic of Cosmos,spotify:artist:4P70aqttdpJ9vuYFDmf7f6,Vangelis,spotify:album:1W8RT4Mmz06AfR5UdJgqpl,Juno to Jupiter,spotify:artist:4P70aqttdpJ9vuYFDmf7f6,Vangelis,24.09.2021,https://i.scdn.co/image/ab67616d0000b273a02ef885725de66e8eef7151,1,8,127106,https://p.scdn.co/mp3-preview/cdb83d964975d5e3c5cc2e65bde8e568b6c808ab?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,36,GBUM72003669,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:3KER0pEKX1dMbR04Jf4Ozp,Aquarella,spotify:artist:134CbjubfA0aUwJ41Wjekd,Alain Morisod,spotify:album:5q6MsI4L59onHkKHYcyVNa,Melodies pour toujours,spotify:artist:134CbjubfA0aUwJ41Wjekd,Alain Morisod,07.08.2001,https://i.scdn.co/image/ab67616d0000b273dfa370e16f776e0c82180940,1,15,266501,https://p.scdn.co/mp3-preview/061ce4cfc3680dc0f525313ada20ac69014c2b6d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,16,USA370389271,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:2qbx4ugJVQNDY5tCLvSCFB,Last Chance - Instr.,spotify:artist:2bZNTmImyBIMOwgn3GZ9Ez,Sebastian Lightfoot,spotify:album:3clOAHfYQ3AW1kPxIF3oyv,The Originator,spotify:artist:2bZNTmImyBIMOwgn3GZ9Ez,Sebastian Lightfoot,01.11.2025,https://i.scdn.co/image/ab67616d0000b2734caf3ad8bd682df1428b4cc5,1,2,273221,https://p.scdn.co/mp3-preview/52b13d11093cd3227bbf6b457ac91cd70e77008a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,10,NLB032500002,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:1SJ3IXIZMcGKKwbAbgh6sd,Black Desert,spotify:artist:5Yd6Pte6PDBXikmRmd05or,Peru,spotify:album:2OuqpfqnnxBa1Uq1aMjgtb,Point Of The Compass,spotify:artist:5Yd6Pte6PDBXikmRmd05or,Peru,1986,https://i.scdn.co/image/ab67616d0000b273126083deccbf11b6ba64e364,1,4,298706,https://p.scdn.co/mp3-preview/1d44cb36ee1d017bad8c3b4a742f6276d530e370?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,9,NLC288600079,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:5U7C3cpuUhjDJnnSODSgtC,THE WATCHERS (movement 1),spotify:artist:5MhLmv7GgyjbxGqiIGasvT,Jean-Michel Jarre,spotify:album:5SyrHk11NMeNBKfz8Bfxkt,THE WATCHERS (movement 1),spotify:artist:5MhLmv7GgyjbxGqiIGasvT,Jean-Michel Jarre,14.09.2018,https://i.scdn.co/image/ab67616d0000b2738232465cc4b54988d396a94e,1,1,177500,https://p.scdn.co/mp3-preview/0fa213c0fd81c0365b38a3b4867b125454574dbc?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,FR0LO1800024,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:0YhYPsfs5KKkNeD7Knxwym,Theme from Silk Road,spotify:artist:6CTNhXJKT6SdsQspUDIGiY,Kitaro,spotify:album:17E0yj1Uv4eNMyVHZPqqzg,Best of Silk Road,spotify:artist:6CTNhXJKT6SdsQspUDIGiY,Kitaro,25.02.2003,https://i.scdn.co/image/ab67616d0000b27387e78d2ef06a216d4e6b1475,1,1,318466,https://p.scdn.co/mp3-preview/7051fa816d0009769f7c6da490c25fafe02abf2f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,21,USDO10300065,spotify:user:gimmli67,2026-07-14T15:03:29Z
spotify:track:0JKaYO3e4sKgkshtuFqzqB,Chariots Of Fire,spotify:artist:4P70aqttdpJ9vuYFDmf7f6,Vangelis,spotify:album:4Kvm4kywipG1aFKwvUqIio,Themes,spotify:artist:4P70aqttdpJ9vuYFDmf7f6,Vangelis,01.01.1989,https://i.scdn.co/image/ab67616d0000b273a1b0b85d60305a242c00546d,1,14,211208,https://p.scdn.co/mp3-preview/e95e179526bf253bf471a06ddcf2c5a0d8e9be76?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,1,NLF058190002,spotify:user:gimmli67,2026-07-14T15:03:29Z
