RAUSWURF-LISTE: Interpreten die NICHT in der gefilterten Playlist sind
===========================================================================
Total: 723 Interpreten (1020 Songs)
===========================================================================

Songs  Interpret
--------------------------------------------------
   45  Sebastian Lightfoot
   16  Nova
   15  Future World Orchestra
   13  Peru
    7  Star Inc.
    6  Ruined Conflict
    4  Counting Crows
    4  Earth\
    4  ES23
    4  Toad The Wet Sprocket
    3  Adam & The Ants
    3  Al B. Sure!
    3  Backstreet Boys
    3  Baltimora
    3  Bill Medley
    3  Box Chevy
    3  Climie Fisher
    3  David Lee Roth
    3  Ed Starink
    3  Eminem
    3  Futureworld Orchestra
    3  Jive Bunny and the Mastermixers
    3  Joe Cocker
    3  Kenny Rogers
    3  Les Humphries Singers
    3  Manfred Mann
    3  Moon Ray
    3  Olivia Newton-John
    3  R3SPAWN
    3  Serra
    3  Soul II Soul
    3  Sparkle Blood
    3  Sweet
    3  The Buggles
    3  The Connells
    3  Third Eye Blind
    3  Yanni
    2  3 Doors Down
    2  Al Corley
    2  Alain Morisod
    2  Alan Silvestri
    2  Alanis Morissette
    2  Alisha
    2  Allman Brothers Band
    2  America
    2  Aretha Franklin
    2  Argy
    2  AVAO
    2  Babyface
    2  Barclay James Harvest
    2  Beastie Boys
    2  Blind Melon
    2  blink-182
    2  Bob Marley & The Wailers
    2  BodyHarvest
    2  Boy George
    2  Boy Meets Girl
    2  Brooklyn Bounce
    2  Canned Heat
    2  Cinderella
    2  CIRCA96
    2  Corey Hart
    2  DANNY AVILA
    2  David Hasselhoff
    2  DeBarge
    2  Debbie Gibson
    2  Del Amitri
    2  Dexys Midnight Runners
    2  Divinyls
    2  E.G. Daily
    2  Eddie Rabbitt
    2  Elvis Costello
    2  Elvis Costello & The Attractions
    2  Exposé
    2  Fiction Factory
    2  Frankie Muriel
    2  Freeez
    2  Frida
    2  Fun Fun
    2  Gary Moore
    2  Gin Blossoms
    2  Golden Earring
    2  Guy
    2  Hammer
    2  In Denial 98
    2  In Strict Confidence
    2  Inner Circle
    2  IQ
    2  J.Hammer
    2  James
    2  Janis Joplin
    2  Jarre
    2  Jermaine Stewart
    2  Jet
    2  Jimmy Eat World
    2  Joan Osborne
    2  Jon Bon Jovi
    2  Julian Lennon
    2  Katrina & The Waves
    2  Kid Rock
    2  Klaus Doldinger
    2  Laid Back
    2  Laura Bryna
    2  Lighthouse Family
    2  Living Colour
    2  London Starlight Orchestra
    2  Londonbeat
    2  Los Lobos
    2  Lou Gramm
    2  Luther Vandross
    2  M/A/R/R/S
    2  Manfred Mann's Earth Band
    2  Marc Almond
    2  Marouani
    2  Matthew Wilder
    2  MC Hammer
    2  Mental Discipline
    2  Miami Sound Machine
    2  Michael Giacchino
    2  Middle Of The Road
    2  Mono Inc.
    2  Moroder
    2  Morrissey
    2  Murray Head
    2  Münchener Freiheit
    2  Natalie Imbruglia
    2  New Radicals
    2  Night Ranger
    2  No Doubt
    2  Oh Well
    2  Oingo Boingo
    2  Ottawan
    2  Phil Oakey
    2  Philip Bailey
    2  Ram Jam
    2  Rip Gerber
    2  Rotersand
    2  Rupert Holmes
    2  Safire
    2  Sananda Maitreya
    2  Sergio Presto
    2  Skid Row
    2  Small Faces
    2  Smokey Robinson
    2  Soul Asylum
    2  Space
    2  Spin Doctors
    2  Squeeze
    2  Stealers Wheel
    2  Steely Dan
    2  Supermode
    2  Sybil
    2  The Black Crowes
    2  The Blues Brothers
    2  The Bolshoi
    2  The Cardigans
    2  The Dream Academy
    2  The Hooters
    2  The Housemartins
    2  The La's
    2  The Power Station
    2  The Runaways
    2  The Smashing Pumpkins
    2  The Tubes
    2  The Verve
    2  The Waterboys
    2  Uriah Heep
    2  Vanessa Williams
    2  War
    2  Will Smith
    2  XTC
    2  Zynic
    1  
    1  1927
    1  A. Badalamenti
    1  Ace Frehley
    1  Adam Ant
    1  Afrika Bambaataa
    1  Afro-Rican
    1  Air Supply
    1  Airbourne
    1  Al Bano And Romina Power
    1  Albert Hammond
    1  Alcazar
    1  Alex Bollard Assembly
    1  Alias
    1  Alice In Chains
    1  Aliotta Haynes Jeremiah
    1  Alok
    1  Alvin Stardust
    1  Amii Stewart
    1  Angelo Badalamenti
    1  Anne Dudley
    1  Anour
    1  Anyma
    1  April Wine
    1  Arrested Development
    1  Art Garfunkel
    1  Auger
    1  Avril Lavigne
    1  B.J. Thomas
    1  Baccara
    1  Bad English
    1  Band Aid
    1  BAP
    1  Bardeux
